,,Calc,Smiles,Atoms,G_cds,E,vib_0,n_imag,m_red,S_vib,H_vib,ZPE,H_rot,H_trans,S_rot,S_trans,S_elec,G,H_tot,S_tot
11,,glyoxylate hydrate,[OH][CH]([OH])[C](=[O])[O-],,17.52803316,-995382.8809,27.62,0,9.6807,50.87201965,9.411837147,156.9239052,3.928554,6.54759,111.070468,140.1223088,0,-995301.2195,-995206.069,302.0647965
12,,formic acid rad,[C]([OH])=[O],,22.9807248,-496515.2391,553.68,0,1.5409,5.085181333,1.19194282,53.6484857,3.928554,6.54759,85.91711036,131.3387651,5.763102918,-496521.7753,-496449.9225,228.1041597
13,,glyoxylate hydrate rad,[OH][C]([OH])[C](=[O])[O-],,20.87848224,-993702.2277,153.76,0,13.0246,51.28010219,9.668314596,119.3924314,3.928554,6.54759,110.7805059,139.9834194,5.763102918,-993659.6501,-993562.6908,307.8071304
14,,glyoxylic acid hydrate rad,[OH][C]([OH])[C](=[O])[OH],,21.77478072,-994888.8884,138.55,0,9.1374,58.64553642,11.01592496,152.1573069,3.928554,6.54759,111.0888458,140.1223088,5.763102918,-994814.6593,-994715.239,315.6197939
15,,glyoxal dihydrate rad,[OH][CH]([OH])[C]([OH])[OH],,15.77267736,-997941.8302,84.29,0,6.0122,76.83770451,13.72183436,212.3358349,3.928554,6.54759,111.7330726,140.3955318,5.763102918,-997810.7362,-997705.2964,334.7294119
16,,glyoxal dihydrate,[OH][CH]([OH])[CH]([OH])[OH],,12.13476,-999675.5983,94.69,0,4.8824,71.83565685,13.07033783,250.521557,3.928554,6.54759,111.6559296,140.529931,0,-999503.597,-999401.5302,324.0215174
17,,hydrogen oxalate,[OH][C](=[O])[C](=[O])[O-],,23.6962572,-992282.4032,7.37,0,13.2698,37.09436646,6.90320709,94.80261006,3.928554,6.54759,110.3022318,139.8429658,0,-992260.7017,-992170.2213,287.2395641
18,,glyoxylic acid hydrate,[OH][CH]([OH])[C](=[O])[OH],,18.17787048,-996567.4677,53.96,0,6.7297,53.16182832,9.986846267,190.0959363,3.928554,6.54759,111.2587157,140.2596685,0,-996452.883,-996356.9088,304.6802125
19,,methandiol rad,[CH]([OH])[OH],,15.68857092,-499643.5161,242.3,0,1.071,16.52711587,3.396160247,113.540324,3.928554,6.54759,91.18035777,131.8852766,5.763102918,-499593.3906,-499516.1035,245.3558532
20,OH_minus,hydroxyl ion,[OH-], ,3.05963328,-199400.7261,3861.14,0,1.0671,3.40E-06,1.01E-06,23.09512286,2.619036,6.54759,28.51625468,119.200958,0,-199414.9952,-199368.4643,147.717216
21,,carboxylate,[C]([O-])=[O],,22.38528468,-495387.365,711.62,0,14.1366,1.606525282,0.394395757,21.76646872,3.928554,6.54759,83.209135,131.0562581,5.763102918,-495424.5431,-495354.728,221.6350213
22,,superoxide,[O][O-],,0,-395077.1484,1270.29,0,15.9949,0.171344799,0.046049746,7.598145527,2.619036,6.54759,45.84916124,127.0835482,5.763102918,-395116.6807,-395060.3375,178.8671571
23,,bicarbonate,[O-][C](=[O])[OH],,17.2773876,-694708.0041,488.46,0,1.1074,9.074279336,2.121546289,68.8365822,3.928554,6.54759,98.66999554,135.1318977,0,-694703.0758,-694626.5698,242.8761726
24,,carbonate radical,[O-][C](=[O])[O],,18.02513988,-692943.9984,-382.33,1,14.2889,31.48436434,4.563604784,27.35724771,3.928554,6.54759,97.56462576,134.9240977,5.763102918,-692986.5683,-692901.6014,269.7361907
25,,carbonate,[O-][C](=[O])[O-],,16.70035884,-693448.897,665.49,0,15.587,4.863413966,1.189646857,34.93960228,3.928554,6.54759,98.14703328,134.9240977,0,-693477.2409,-693402.2916,237.9345449
26,,gloxylate dehydrate,[O]=[CH][C](=[O])[O-],,21.5015394,-794648.2407,68.78,0,3.3688,28.97269297,5.113908591,79.96586252,3.928554,6.54759,105.4280708,137.3718673,0,-794638.2931,-794552.6847,271.7726311
27,,gloxylic acid  dehydrate,[O]=[CH][C](=[O])[OH],,22.17857532,-795813.0595,93.87,0,3.5259,32.83216694,5.946806386,113.30974,3.928554,6.54759,105.7546412,137.5428884,0,-795770.3076,-795683.3268,276.1296966
28,,glyoxal monohydrate,[OH][CH]([OH])[CH]=[O],,16.0743726,-798933.2487,99.19,0,3.3027,46.05247057,8.394501946,175.0356629,3.928554,6.54759,106.8659863,137.8780519,0,-798830.9433,-798739.3424,290.7965088
29,,gly_peroxyl,[OH][CH]([OH])[CH]([O][O])[OH],,10.4589078,-1195265.084,74.29,0,9.3058,86.19591871,15.17129633,227.8457919,3.928554,6.54759,115.8102237,142.3744261,5.763102918,-1195121.886,-1195011.591,350.1436715
30,placeholder,gly oxyl radical,[OH][CH]([OH])[CH]([O])[OH],,24.89550624,-997934.6841,33.47,0,5.9772,100.9979398,16.1461172,205.7886857,3.928554,6.54759,115.1234883,140.3955318,5.763102918,-997816.3914,-997702.2732,362.2800628
31,,TS_OOH disprop,[O][OH]+[O][OH]+->[OH][OH]+[O][O]++, ,3.34249872,-792512.1263,-1894.65,0,1.2656,35.84037461,6.338115812,72.04460036,3.928554,6.54759,102.7889764,136.1150544,9.134302013,-792512.6893,-792423.2675,283.8787074
32,,TS_OH OOH H transfer,[OH]+[O][OH]+->[OH2]+[O][O]++, ,3.94756296,-595145.1092,-99.27,0,1.1654,54.86063244,7.899521924,68.8013516,3.928554,6.54759,100.0556883,132.6535278,9.134302013,-595151.3939,-595057.9321,296.7041506
33,,TS_HT_glyoxal hydrate OH ,[OH][CH]([OH])[CH]([OH])[OH]+[OH]+->[OH][CH]([OH])[C]([OH])[OH]+[OH2]++, ,13.9800804,-1198540.794,-343.3,0,5.7419,110.4135774,19.0669873,271.0060865,3.928554,6.54759,117.882552,142.6029197,5.763102918,-1198358.893,-1198240.244,376.662152
34,,TS_HT_glyoxylic acid hydrate OH,[OH][CH]([OH])[C](=[O])[OH]+[OH]+->[OH][C]([OH])[C](=[O])[OH]+[OH2]++, ,19.73865168,-1195426.76,-387.32,0,3.9892,101.9242513,17.08433014,207.6397576,3.928554,6.54759,117.6729542,142.3744261,5.763102918,-1195307.397,-1195191.56,367.7347345
35,,TS_HT_glyoxylate hydrate OH ,[OH][CH]([OH])[C](=[O])[O-]+[OH]+->[OH][C]([OH])[C](=[O])[O-]+[OH2]++, ,17.27822448,-1194262.289,-529.68,0,2.5009,84.29880695,14.60371516,176.0081231,3.928554,6.54759,116.8812542,142.2585901,5.763102918,-1194171.199,-1194061.201,349.2017542
36,placeholder,TS_OH OH coupling,[OH]+[OH]+->[OH][OH]+++, ,3.34249872,-792512.1263,-1894.65,0,1.2656,35.84037461,6.338115812,72.04460036,3.928554,6.54759,102.7889764,136.1150544,9.134302013,-792512.6893,-792423.2675,283.8787074
37,placeholder,TS_acid base equil 1,[OH][CH]([OH])[C](=[O])[OH]+[OH2]+->[OH][CH]([OH])[C](=[O])[O-]+[OH3+]++, ,3.34249872,-792512.1263,-1894.65,0,1.2656,35.84037461,6.338115812,72.04460036,3.928554,6.54759,102.7889764,136.1150544,9.134302013,-792512.6893,-792423.2675,283.8787074
38,placeholder,TS_acid base equil 2,[OH][C](=[O])[C](=[O])[OH]+[OH2]+->[OH][C](=[O])[C](=[O])[O-]+[OH3+]++, ,3.34249872,-792512.1263,-1894.65,0,1.2656,35.84037461,6.338115812,72.04460036,3.928554,6.54759,102.7889764,136.1150544,9.134302013,-792512.6893,-792423.2675,283.8787074
39,placeholder,TS_acid base equil 3,[OH][C](=[O])[C](=[O])[O-]+[OH2]+->[O-][C](=[O])[C](=[O])[O-]+[OH3+]++, ,3.34249872,-792512.1263,-1894.65,0,1.2656,35.84037461,6.338115812,72.04460036,3.928554,6.54759,102.7889764,136.1150544,9.134302013,-792512.6893,-792423.2675,283.8787074
40,placeholder,TS_acid base equil 4,[CH]([OH])=[O]+[OH2]+->[CH]([O-])=[O]+[OH3+]++, ,3.34249872,-792512.1263,-1894.65,0,1.2656,35.84037461,6.338115812,72.04460036,3.928554,6.54759,102.7889764,136.1150544,9.134302013,-792512.6893,-792423.2675,283.8787074
41,placeholder,TS_acid base equil 5,[OH2]+[OH2]+->[OH-]+[OH3+]++, ,3.34249872,-792512.1263,-1894.65,0,1.2656,35.84037461,6.338115812,72.04460036,3.928554,6.54759,102.7889764,136.1150544,9.134302013,-792512.6893,-792423.2675,283.8787074
42,placeholder,TS_AB OOH,[O][OH]+[OH2]+->[O][O-]+[OH3+]++,,14.18386068,-1395868.754,-1890.73,0,1.139,128.8389425,21.98602056,276.5804166,3.928554,6.54759,121.0534517,144.2813912,5.763102918,-1395685.691,-1395559.711,399.9368883
43,,TS_OH HT formic acid,[CH]([OH])=[O]+[OH]+->[C]([OH])=[O]+[OH2]++,,23.20919304,-697125.2657,-693.64,0,2.582,45.56188682,7.404563543,105.295347,3.928554,6.54759,105.7036279,135.5373906,5.763102918,-697094.248,-697002.0897,292.5660083
44,,TS_OH HT formate,[CH]([O-])=[O]+[OH]+->[C]([O-])=[O]+[OH2]++,,22.1438448,-695961.2717,-283.28,0,5.7835,35.44389308,5.941633479,78.61412007,3.928554,6.54759,104.494129,135.3362921,5.763102918,-695954.7666,-695866.2398,281.0374171
45,placeholder,TS_electron transfer COO- + O2,[C]([O-])=[O]+[O][O]+->[O]=[C]=[O]+[O][O-]++,,3.34249872,-792512.1263,-1894.65,0,1.2656,35.84037461,6.338115812,72.04460036,3.928554,6.54759,102.7889764,136.1150544,9.134302013,-792512.6893,-792423.2675,283.8787074
46,placeholder,TS_OH H2O2 transfer,[OH]+[OH][OH]+->[OH2]+[O][OH]++,,6.3247206,-596803.5534,-1863.81,0,1.1866,38.2346409,6.467719328,86.62875229,3.928554,6.54759,97.41301889,132.902411,5.763102918,-596786.3894,-596699.9808,274.3131737
47,placeholder,TS_oxalate OH e transfer,[O-][C](=[O])[C](=[O])[O-]+[OH]+->[C]([O-])=[O]+[O]=[C]=[O]+[OH-]+,,3.34249872,-792512.1263,-1894.65,0,1.2656,35.84037461,6.338115812,72.04460036,3.928554,6.54759,102.7889764,136.1150544,9.134302013,-792512.6893,-792423.2675,283.8787074
48,placeholder,TS_hydrogen oxalate e transfer,[OH][C](=[O])[C](=[O])[O-]+[OH]+->[C]([OH])=[O]+[O]=[C]=[O]+[OH-]+,,3.34249872,-792512.1263,-1894.65,0,1.2656,35.84037461,6.338115812,72.04460036,3.928554,6.54759,102.7889764,136.1150544,9.134302013,-792512.6893,-792423.2675,283.8787074
49,,TS_oxalic acid_frag_direct,[OH][C](=[O])[C](=[O])[OH]+[OH]+->[C]([OH])=[O]+[O]=[C]=[O]+[OH2]+,,24.71055576,-1192292.219,-1530.9,0,1.1235,65.66769483,11.77084112,150.0720024,3.928554,6.54759,115.9944241,142.1416681,5.763102918,-1192223.713,-1192119.9,329.5668899
50,placeholder,TS_CO2 hydrateion,[O]=[C]=[O]+[OH2]+[OH2]->[O-][C](=[O])[OH]+[OH3+]++,,3.34249872,-792512.1263,-1894.65,0,1.2656,35.84037461,6.338115812,72.04460036,3.928554,6.54759,102.7889764,136.1150544,9.134302013,-792512.6893,-792423.2675,283.8787074
51,,TS_hydrogen carbonate H transfer,[O-][C](=[O])[OH]+[OH]+->[O-][C](=[O])[O]+[OH2]++,,16.39991892,-893540.4766,-2652.09,0,1.0554,43.55321433,7.74047683,81.98830225,3.928554,6.54759,107.4725272,138.1986227,5.763102918,-893533.1927,-893440.2717,294.9874672
52,placeholder,TS_hydrogen carbonate H transfer,[O-][C](=[O])[O]+[OH][OH]+->[O-][C](=[O])[OH]+[O][OH]++,,3.34249872,-792512.1263,-1894.65,0,1.2656,35.84037461,6.338115812,72.04460036,3.928554,6.54759,102.7889764,136.1150544,9.134302013,-792512.6893,-792423.2675,283.8787074
53,placeholder,TS_bicarbonate deprot,[O-][C](=[O])[OH]+[OH2]+->[O-][C](=[O])[O-]+[OH3+]++,,3.34249872,-792512.1263,-1894.65,0,1.2656,35.84037461,6.338115812,72.04460036,3.928554,6.54759,102.7889764,136.1150544,9.134302013,-792512.6893,-792423.2675,283.8787074
54,placeholder,TS_glyoxylic acid dehydrate,[OH][CH]([OH])[C](=[O])[OH]++->[O]=[CH][C](=[O])[OH]+[OH2]++,,15.57349992,-1189727.294,-47.36,0,14.06,47.63740774,8.824521185,95.82668999,3.928554,6.54759,114.7208614,141.9044833,5.763102918,-1189709.824,-1189612.166,310.0258554
55,placeholder,TS_glyoxylic acid dehydrate deprot,[OH][CH]([OH])[C](=[O])[O-]++->[O]=[CH][C](=[O])[O-]+[OH2]++,,15.57349992,-1189727.294,-47.36,0,14.06,47.63740774,8.824521185,95.82668999,3.928554,6.54759,114.7208614,141.9044833,5.763102918,-1189709.824,-1189612.166,310.0258554
56,placeholder,TS_glyoxylate H2O2 reaction frag,[O]=[CH][C](=[O])[O-]+[OH][OH]+->[CH]([O-])=[O]+[O]=[C]=[O]+[OH2]+,,15.57349992,-1189727.294,-47.36,0,14.06,47.63740774,8.824521185,95.82668999,3.928554,6.54759,114.7208614,141.9044833,5.763102918,-1189709.824,-1189612.166,310.0258554
57,placeholder,TS_glyoxal dihydrate dehydrate,[OH][CH]([OH])[CH]([OH])[OH]++->[OH][CH]([OH])[CH]=[O]+[OH2]++,,15.57349992,-1189727.294,-47.36,0,14.06,47.63740774,8.824521185,95.82668999,3.928554,6.54759,114.7208614,141.9044833,5.763102918,-1189709.824,-1189612.166,310.0258554
58,placeholder,TS_gly peroxyl disprop,[OH][CH]([OH])[CH]([O][O])[OH]+[OH][CH]([OH])[CH]([O][O])[OH]+->[OH][CH]([OH])[CH]([O])[OH]+[OH][CH]([OH])[CH]([O])[OH]+[O][O]+,,23.20919304,-697125.2657,-693.64,0,2.582,45.56188682,7.404563543,105.295347,3.928554,6.54759,105.7036279,135.5373906,5.763102918,-697094.248,-697002.0897,292.5660083
59,,TS_gly oxyl frag,[OH][CH]([OH])[CH]([O])[OH]++->[CH]([OH])=[O]+[CH]([OH])[OH]++,,14.30813736,-997900.9189,-336.12,0,1.871,65.17964872,11.83886823,207.1895357,3.928554,6.54759,111.4894243,140.3955318,5.763102918,-997773.1051,-997671.4144,322.8277078
60,placeholder,TS_superoxide minus HT,[O][OH]+[O][O-]+[OH2]->[OH][OH]+[O][O]+[OH-]+,,23.20919304,-697125.2657,-693.64,0,2.582,45.56188682,7.404563543,105.295347,3.928554,6.54759,105.7036279,135.5373906,5.763102918,-697094.248,-697002.0897,292.5660083
61,placeholder,TS_O2 add glyoxal hyd rad,[OH][CH]([OH])[C]([OH])[OH]+[O][O]+->[OH][CH]([OH])[C](=[O])[OH]+[O][OH]++, ,3.34249872,-792512.1263,-1894.65,0,1.2656,35.84037461,6.338115812,72.04460036,3.928554,6.54759,102.7889764,136.1150544,9.134302013,-792512.6893,-792423.2675,283.8787074
62,,TS_glyoxylic acid rad O2 add,[OH][C]([OH])[C](=[O])[OH]+[O][O]+->[OH][C](=[O])[C](=[O])[OH]+[O][OH]++, ,18.81766524,-1389599.964,-241.95,0,10.1913,105.0362836,17.88591411,165.5194535,3.928554,6.54759,119.2919698,143.879168,5.763102918,-1389523.883,-1389406.082,373.9705244
63,,TS_glyoxylate hydrate rad O2 add,[OH][C]([OH])[C](=[O])[O-]+[O][O]+->[OH][C](=[O])[C](=[O])[O-]+[O][OH]++, ,21.39985848,-1388453.719,-143.26,0,14.1857,97.56516593,15.65026608,138.8343386,3.928554,6.54759,119.2803152,143.7765521,5.763102918,-1388404.169,-1388288.758,366.3851361
64,placeholder,TS_O2 add to dihydroxy methyl radical,[CH]([OH])[OH]+[O][O]+->[CH]([OH])=[O]+[O][OH]++,,3.34249872,-792512.1263,-1894.65,0,1.2656,35.84037461,6.338115812,72.04460036,3.928554,6.54759,102.7889764,136.1150544,9.134302013,-792512.6893,-792423.2675,283.8787074
65,,TS_O2 add to formic acid rad,[C]([OH])=[O]+[O][O]+->[O]=[C]=[O]+[O][OH]++,,17.85232416,-891227.6767,-129.67,0,14.4986,56.2157075,8.736841451,66.55873558,3.928554,6.54759,109.1911542,138.0364185,5.763102918,-891239.305,-891141.905,309.2063832
66,placeholder,TS_O2- add use experimts,[OH][CH]([OH])[CH]=[O]+[O][O-]+[OH2]->[OH][CH]([OH])[CH]([O][O])[OH]+[OH-]++,,3.34249872,-792512.1263,-1894.65,0,1.2656,35.84037461,6.338115812,72.04460036,3.928554,6.54759,102.7889764,136.1150544,9.134302013,-792512.6893,-792423.2675,283.8787074
